Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r48,Tuesday,41
Valerie Salitan,Physics,r53,Wednesday,19
Katya Henry,Advanced Algorithms,r50,Wednesday,19
Scott Cogan,Machine Learning,r53,Monday,18
Katelyn Talty,Applied Chemistry,r48,Wednesday,43
Rebecca Archer,Database Management,r53,Thursday,29
Trevor Buckley,Discrete Mathematics,r53,Wednesday,31
Jennifer Aaron,Software Design and Analysis,r48,Monday,7
Nathan Nichols,Computer Theory,r53,Monday,11
Karter Caldwell,Network Analysis,r48,Wednesday,29
Gillian Auger,Computer Vision,r48,Tuesday,30
Rena Gregory,Visualizations,r48,Thursday,6
