Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r13,Thursday,13
Valerie Salitan,Physics,r48,Monday,50
Katya Henry,Advanced Algorithms,r13,Thursday,29
Scott Cogan,Machine Learning,r50,Wednesday,8
Katelyn Talty,Applied Chemistry,r50,Wednesday,7
Rebecca Archer,Database Management,r48,Friday,16
Trevor Buckley,Discrete Mathematics,r50,Friday,42
Jennifer Aaron,Software Design and Analysis,r53,Thursday,1
Nathan Nichols,Computer Theory,r50,Tuesday,31
Karter Caldwell,Network Analysis,r48,Thursday,17
Gillian Auger,Computer Vision,r53,Thursday,11
Rena Gregory,Visualizations,r48,Tuesday,37
