Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r13,Tuesday,5
Valerie Salitan,Physics,r48,Thursday,43
Katya Henry,Advanced Algorithms,r48,Friday,35
Scott Cogan,Machine Learning,r50,Tuesday,4
Katelyn Talty,Applied Chemistry,r50,Tuesday,49
Rebecca Archer,Database Management,r53,Thursday,20
Trevor Buckley,Discrete Mathematics,r48,Tuesday,33
Jennifer Aaron,Software Design and Analysis,r50,Friday,23
Nathan Nichols,Computer Theory,r13,Thursday,41
Karter Caldwell,Network Analysis,r48,Tuesday,14
Gillian Auger,Computer Vision,r48,Thursday,31
Rena Gregory,Visualizations,r50,Friday,38
