Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r50,Thursday,45
Valerie Salitan,Physics,r50,Monday,45
Katya Henry,Advanced Algorithms,r53,Wednesday,42
Scott Cogan,Machine Learning,r48,Tuesday,13
Katelyn Talty,Applied Chemistry,r53,Friday,24
Rebecca Archer,Database Management,r53,Wednesday,19
Trevor Buckley,Discrete Mathematics,r48,Monday,37
Jennifer Aaron,Software Design and Analysis,r53,Tuesday,38
Nathan Nichols,Computer Theory,r53,Monday,38
Karter Caldwell,Network Analysis,r48,Wednesday,38
Gillian Auger,Computer Vision,r50,Friday,48
Rena Gregory,Visualizations,r13,Thursday,36
