Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r53,Thursday,35
Valerie Salitan,Physics,r48,Thursday,23
Katya Henry,Advanced Algorithms,r50,Friday,8
Scott Cogan,Machine Learning,r48,Wednesday,38
Katelyn Talty,Applied Chemistry,r48,Monday,21
Rebecca Archer,Database Management,r53,Monday,44
Trevor Buckley,Discrete Mathematics,r48,Tuesday,29
Jennifer Aaron,Software Design and Analysis,r50,Tuesday,6
Nathan Nichols,Computer Theory,r13,Monday,1
Karter Caldwell,Network Analysis,r53,Thursday,6
Gillian Auger,Computer Vision,r50,Thursday,42
Rena Gregory,Visualizations,r48,Thursday,1
