Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r13,Tuesday,41
Valerie Salitan,Physics,r50,Friday,7
Katya Henry,Advanced Algorithms,r53,Tuesday,42
Scott Cogan,Machine Learning,r53,Friday,36
Katelyn Talty,Applied Chemistry,r50,Tuesday,35
Rebecca Archer,Database Management,r53,Wednesday,24
Trevor Buckley,Discrete Mathematics,r13,Wednesday,13
Jennifer Aaron,Software Design and Analysis,r50,Friday,15
Nathan Nichols,Computer Theory,r13,Monday,26
Karter Caldwell,Network Analysis,r50,Thursday,22
Gillian Auger,Computer Vision,r53,Friday,13
Rena Gregory,Visualizations,r13,Monday,40
