Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r48,Friday,5
Valerie Salitan,Physics,r50,Tuesday,4
Katya Henry,Advanced Algorithms,r48,Tuesday,48
Scott Cogan,Machine Learning,r53,Monday,28
Katelyn Talty,Applied Chemistry,r13,Friday,24
Rebecca Archer,Database Management,r53,Thursday,8
Trevor Buckley,Discrete Mathematics,r13,Friday,35
Jennifer Aaron,Software Design and Analysis,r13,Monday,47
Nathan Nichols,Computer Theory,r13,Thursday,9
Karter Caldwell,Network Analysis,r53,Monday,20
Gillian Auger,Computer Vision,r48,Monday,33
Rena Gregory,Visualizations,r50,Friday,20
