Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r50,Monday,30
Valerie Salitan,Physics,r48,Friday,46
Katya Henry,Advanced Algorithms,r50,Tuesday,22
Scott Cogan,Machine Learning,r48,Wednesday,12
Katelyn Talty,Applied Chemistry,r50,Wednesday,20
Rebecca Archer,Database Management,r50,Monday,31
Trevor Buckley,Discrete Mathematics,r53,Wednesday,26
Jennifer Aaron,Software Design and Analysis,r48,Tuesday,20
Nathan Nichols,Computer Theory,r50,Wednesday,9
Karter Caldwell,Network Analysis,r53,Tuesday,17
Gillian Auger,Computer Vision,r50,Friday,27
Rena Gregory,Visualizations,r13,Thursday,14
