Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r13,Tuesday,9
Valerie Salitan,Physics,r50,Monday,46
Katya Henry,Advanced Algorithms,r50,Monday,23
Scott Cogan,Machine Learning,r13,Wednesday,8
Katelyn Talty,Applied Chemistry,r50,Friday,49
Rebecca Archer,Database Management,r13,Tuesday,5
Trevor Buckley,Discrete Mathematics,r53,Tuesday,39
Jennifer Aaron,Software Design and Analysis,r48,Monday,1
Nathan Nichols,Computer Theory,r50,Wednesday,39
Karter Caldwell,Network Analysis,r13,Monday,5
Gillian Auger,Computer Vision,r13,Monday,6
Rena Gregory,Visualizations,r53,Tuesday,13
