Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r13,Thursday,50
Nancy Harris,Physics,r13,Thursday,50
Nancy Harris,Advanced Algorithms,r13,Thursday,50
Nancy Harris,Database Management,r13,Thursday,50
Nancy Harris,Discrete Mathematics,r13,Thursday,50
Nancy Harris,Software Design and Analysis,r13,Thursday,50
Nancy Harris,Computer Vision,r13,Thursday,50
Nancy Harris,Machine Learning,r13,Thursday,50
Nancy Harris,Visualizations,r13,Thursday,50
Nancy Harris,Applied Chemistry,r13,Thursday,50
Nancy Harris,Computer Theory,r13,Thursday,50
Nancy Harris,Network Analysis,r13,Thursday,50
Valerie Salitan,Calculus,r13,Thursday,50
Valerie Salitan,Physics,r13,Thursday,50
Valerie Salitan,Advanced Algorithms,r13,Thursday,50
Valerie Salitan,Database Management,r13,Thursday,50
Valerie Salitan,Discrete Mathematics,r13,Thursday,50
Valerie Salitan,Software Design and Analysis,r13,Thursday,50
Valerie Salitan,Computer Vision,r13,Thursday,50
Valerie Salitan,Machine Learning,r13,Thursday,50
Valerie Salitan,Visualizations,r13,Thursday,50
Valerie Salitan,Applied Chemistry,r13,Thursday,50
Valerie Salitan,Computer Theory,r13,Thursday,50
Valerie Salitan,Network Analysis,r13,Thursday,50
Katya Henry,Calculus,r13,Thursday,50
Katya Henry,Physics,r13,Thursday,50
Katya Henry,Advanced Algorithms,r13,Thursday,50
Katya Henry,Database Management,r13,Thursday,50
Katya Henry,Discrete Mathematics,r13,Thursday,50
Katya Henry,Software Design and Analysis,r13,Thursday,50
Katya Henry,Computer Vision,r13,Thursday,50
Katya Henry,Machine Learning,r13,Thursday,50
Katya Henry,Visualizations,r13,Thursday,50
Katya Henry,Applied Chemistry,r13,Thursday,50
Katya Henry,Computer Theory,r13,Thursday,50
Katya Henry,Network Analysis,r13,Thursday,50
Rebecca Archer,Calculus,r13,Thursday,50
Rebecca Archer,Physics,r13,Thursday,50
Rebecca Archer,Advanced Algorithms,r13,Thursday,50
Rebecca Archer,Database Management,r13,Thursday,50
Rebecca Archer,Discrete Mathematics,r13,Thursday,50
Rebecca Archer,Software Design and Analysis,r13,Thursday,50
Rebecca Archer,Computer Vision,r13,Thursday,50
