Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r48,Friday,47
Valerie Salitan,Physics,r53,Wednesday,11
Katya Henry,Advanced Algorithms,r50,Friday,36
Scott Cogan,Machine Learning,r48,Tuesday,30
Katelyn Talty,Applied Chemistry,r13,Thursday,39
Rebecca Archer,Database Management,r48,Wednesday,47
Trevor Buckley,Discrete Mathematics,r53,Thursday,5
Jennifer Aaron,Software Design and Analysis,r53,Wednesday,32
Nathan Nichols,Computer Theory,r53,Friday,25
Karter Caldwell,Network Analysis,r50,Wednesday,2
Gillian Auger,Computer Vision,r13,Thursday,6
Rena Gregory,Visualizations,r13,Friday,42
