Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r48,Monday,27
Valerie Salitan,Physics,r48,Wednesday,29
Katya Henry,Advanced Algorithms,r53,Friday,7
Scott Cogan,Machine Learning,r13,Tuesday,18
Katelyn Talty,Applied Chemistry,r48,Thursday,3
Rebecca Archer,Database Management,r48,Monday,7
Trevor Buckley,Discrete Mathematics,r48,Thursday,44
Jennifer Aaron,Software Design and Analysis,r50,Monday,11
Nathan Nichols,Computer Theory,r13,Wednesday,34
Karter Caldwell,Network Analysis,r53,Wednesday,49
Gillian Auger,Computer Vision,r13,Thursday,31
Rena Gregory,Visualizations,r48,Thursday,16
