Professor,Course,Room,Day,Time Slot
Nancy Harris,Calculus,r53,Monday,45
Valerie Salitan,Physics,r13,Tuesday,38
Katya Henry,Advanced Algorithms,r13,Wednesday,2
Scott Cogan,Machine Learning,r13,Monday,5
Katelyn Talty,Applied Chemistry,r50,Friday,19
Rebecca Archer,Database Management,r13,Tuesday,5
Trevor Buckley,Discrete Mathematics,r50,Tuesday,14
Jennifer Aaron,Software Design and Analysis,r48,Friday,18
Nathan Nichols,Computer Theory,r50,Wednesday,15
Karter Caldwell,Network Analysis,r48,Wednesday,48
Gillian Auger,Computer Vision,r13,Tuesday,22
Rena Gregory,Visualizations,r50,Monday,40
